"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"GPRIN3" 2.99222418910894 3.0574158653428 3.01899202777896 3.02542338448115 3.01335093263789
"RAP2A" 5.88562838810321 5.63379602384286 5.57577521815292 5.54366661324647 5.66818289193814
"KCNK10" 4.03287114667796 3.99351945341473 3.9971733147047 4.28463532859994 4.01763290046991
"SERPINB6" 4.86904184445885 5.01104192626336 5.10187304296209 4.91086992694508 5.00525553463486
"LEPROT" 3.92026274296872 3.99940025873965 4.00372553711838 4.00578028613395 4.05275414921675
"LMTK3" 4.32956799307985 4.19271397840197 4.60201756082127 4.42273484882127 4.37563591728246
"APOL6" 6.78350514626093 6.4851884753537 6.69596704567456 6.51451943275978 6.54605912329265
"TMEM198B" 6.32788716152873 6.5200311350933 6.92072033202914 6.47562438986109 6.42538216069735
"LINC00632" 4.14284939470538 4.23150073865616 4.31157765638248 4.30825173455695 4.27055505055151
"C16orf92" 5.1820498310964 5.14328880319207 5.44691226722979 5.28269346484385 5.2536167355652
"DNASE1" 5.43397100755781 5.17496819435938 5.59076474117829 5.25010405682703 5.31603287162626
"LGALS3" 4.21507831427131 4.43438890285261 4.2769734548885 4.24228465714135 4.20988851506909
"RBPMS" 4.34446131756928 4.31285366017924 4.21026805240328 4.52330319942059 4.36229400187382
"EHBP1L1" 7.39624166656045 7.7106735911722 7.16100762465797 7.51337337521197 7.45726851553511
"BCL10" 4.06359114776049 3.62337737239025 3.95132906151986 3.44824228507625 3.64953847104666
"TLCD2" 3.61080512415652 4.14665937838303 4.27528407506351 3.76760349486838 3.76148978090872
"FERMT1" 4.16485476573044 4.44490809267111 4.59709392208342 4.12567449794935 4.34938573466876
"SLC25A43" 5.66021715954437 8.20362204400754 6.64049845114131 7.38129905371816 7.38966002943082
"ACSL4" 6.17873056878716 6.24773616628426 6.53217569886417 5.81263167318639 6.12516692851245
"SMIM17" 3.68272091665964 3.3594503769556 3.40398969895741 3.24391406465935 3.38412644994056
"TREML3P" 4.72671646497527 4.71450238699702 4.97429690773868 4.77257015689904 4.70366717940995
"C10orf55" 3.65913068943736 3.72191336128082 3.59645032373448 3.6621591461944 3.62055972571632
"PALLD" 4.08927079932092 4.16737886546338 4.36845388826881 4.18204947394139 4.16698231332158
"RNF165" 3.68767254455311 3.66974939780222 3.75999752012395 3.93213955569914 3.83102087602673
"PAQR3" 4.84731797456874 4.598393388167 4.68899771953967 4.75961804865151 4.76031392780305
"ZNF286A" 7.82387268710727 6.43834693098547 6.46661227067036 5.83165682234393 6.42009067694772
"MYO16" 5.0446130629377 5.18010427861626 5.24080209912692 5.15095420081559 5.26084134078066
"GRK5" 7.65624415180135 6.84705927119028 7.0066407166597 7.14969068942554 7.15639311217178
"LPAR6" 4.05056355162453 3.87639502692913 3.84948396760212 3.76895746402822 3.89148714787479
"CEP112" 4.73369566545472 4.78077491275257 4.97063586145723 4.77053021707185 4.72271194778338
"SIM2" 3.53523092666 3.58711476828435 3.55244763821185 3.74691011313209 3.73916566281813
"CD44" 6.5247953648778 9.09632903337274 6.6424264962414 8.27964565273567 8.12434796510376
"PTRF" 6.50447095623497 6.49456780855588 6.5018628176965 6.49275881685015 6.54262423646315
"CEP78" 8.31106854432003 8.49250673250735 7.59209361634549 7.4858070207989 7.91487657008204
"ARID5B" 5.15282323946483 5.04170998988645 5.32869190357906 5.05306383048751 5.06650643421914
"CP" 5.17677688372698 4.99441322367227 5.09821073656738 5.17090446027285 5.00722555686042
"DNAJC3" 7.52735943581818 8.19563615567746 8.94315412726649 8.26701485122678 8.35402593799494
"FN1" 4.9544293476293 5.13983707824613 5.2673877146828 5.06916114785503 4.99443919288158
"SRC" 4.18691946155598 4.64193579786618 4.98048462941977 4.59190139864203 4.2354499721251
"TMEM184A" 4.90167802966613 5.22364698242742 5.1484398298081 4.98341482971288 4.86018335302477
"ZDHHC18" 7.26966773010191 6.56120437013247 6.77361040443653 6.99186125852378 6.71446401400735
"SIRT2" 5.51957597496225 5.28110983000389 4.79986141221459 4.93977732775414 5.02530878725695
